members,companyName,followersCount,memberUrn,companyFollowerCount
0,Commonwealth Bank,506,urn:li:member:10013136,198859
1,Commonwealth Bank,506,urn:li:member:10013136,198859
2,CommSec,506,urn:li:member:10013136,10047
3,Commonwealth Bank,506,urn:li:member:10013136,198859
4,PayPal,951,urn:li:member:100186032,300723
5,Optus,951,urn:li:member:100186032,71403
6,IBM,951,urn:li:member:100186032,4385293
7,IBM,951,urn:li:member:100186032,4385293
8,IBM,951,urn:li:member:100186032,4385293
9,IBM,951,urn:li:member:100186032,4385293
10,IBM,951,urn:li:member:100186032,4385293
11,Jigsaw Clothing,951,urn:li:member:100186032,15839
12,Hotel Grand Chancellor Hobart,886,urn:li:member:100189195,251
13,Hilton Hotels & Resorts,886,urn:li:member:100189195,47886
14,Adelaide Convention Centre,886,urn:li:member:100189195,3043
15,Taj Hotels,886,urn:li:member:100189195,124267
16,The Star Gold Coast,886,urn:li:member:100189195,
17,"Fairmont Resort & Spa Blue Mountains, MGallery by Sofitel",886,urn:li:member:100189195,391
18,The Star Gold Coast,886,urn:li:member:100189195,
19,Laing O'Rourke,556,urn:li:member:100207000,149380
20,CPB Contractors,556,urn:li:member:100207000,117254
21,CPB Contractors,556,urn:li:member:100207000,117254
22,Costain Group PLC,556,urn:li:member:100207000,45954
23,Lendlease,556,urn:li:member:100207000,205942
24,Laing O'Rourke,556,urn:li:member:100207000,149380
25,Transport for NSW,15286,urn:li:member:100271877,37530
26,Reserve Bank of Australia,15286,urn:li:member:100271877,23099
27,Amcor,15286,urn:li:member:100271877,58372
28,Orica,15286,urn:li:member:100271877,62718
29,SAP Ariba,15286,urn:li:member:100271877,68163
30,IBM,15286,urn:li:member:100271877,4385293
31,NetApp,15286,urn:li:member:100271877,380980
32,Nestl̩,15286,urn:li:member:100271877,3081546
33,Novartis,15286,urn:li:member:100271877,1273365
34,Ciber Global,15286,urn:li:member:100271877,97135
35,GSK,15286,urn:li:member:100271877,1190501
36,SAP,15286,urn:li:member:100271877,1189220
37,HCL AXON,15286,urn:li:member:100271877,25021
38,RZ Group,15286,urn:li:member:100271877,9983
39,Creative Personnel,15286,urn:li:member:100271877,5906
40,Deloitte Australia,4247,urn:li:member:1002879,98763
41,Grant Thornton Australia,4247,urn:li:member:1002879,13694
42,Grant Thornton Australia,4247,urn:li:member:1002879,13694
43,PwC,4247,urn:li:member:1002879,1660685
44,National Australia Bank,4247,urn:li:member:1002879,151686
45,King & Wood Mallesons,4247,urn:li:member:1002879,31923
46,Commonwealth Bank,4247,urn:li:member:1002879,198859
47,KPMG,4247,urn:li:member:1002879,795604
48,Cuscal Limited,4247,urn:li:member:1002879,6004
49,Manpower UK,4247,urn:li:member:1002879,31594
